"最後
結算日","契約
月份","臺股期貨/小型臺指期貨
（ TX/MTX ）"
2020/12/09,202012W2,14398
2020/12/02,202012W1,13981
2020/11/25,202011W4,13753
2020/11/18,202011,13756
2020/11/11,202011W2,13249
2020/11/04,202011W1,12865
2020/10/28,202010W4,12771
2020/10/21,202010,12860
2020/10/14,202010W2,12900
2020/10/07,202010W1,12759
2020/09/30,202009W5,12529
2020/09/23,202009W4,12577
2020/09/16,202009,12969
2020/09/09,202009W2,12592
2020/09/02,202009W1,12668
2020/08/26,202008W4,12799
2020/08/19,202008,12807
2020/08/12,202008W2,12659
2020/08/05,202008W1,12793
2020/07/29,202007W5,12530
2020/07/22,202007W4,12451
2020/07/15,202007,12220
2020/07/08,202007W2,12180
2020/07/01,202007W1,11702
2020/06/24,202006W4,11652
2020/06/17,202006,11520
2020/06/10,202006W2,11714
2020/06/03,202006W1,11321
2020/05/27,202005W4,11010
2020/05/20,202005,10887
2020/05/13,202005W2,10924
2020/05/06,202005W1,10757
2020/04/29,202004W5,10764
2020/04/22,202004W4,10285
2020/04/15,202004,10451
2020/04/08,202004W2,10131
2020/04/01,202004W1,9684
2020/03/25,202003W4,9625
2020/03/18,202003,9264
2020/03/11,202003W2,10907
2020/03/04,202003W1,11379
2020/02/26,202002W4,11433
2020/02/19,202002,11760
2020/02/12,202002W2,11793
2020/02/05,202002W1,11560
2020/01/30,202001W4,11436
2020/01/15,202001,12063
2020/01/08,202001W2,11840
2020/01/02,202001W1,12102
2019/12/25,201912W4,12016
2019/12/18,201912,12119
2019/12/11,201912W2,11680
2019/12/04,201912W1,11474
2019/11/27,201911W4,11641
2019/11/20,201911,11608
2019/11/13,201911W2,11476
2019/11/06,201911W1,11655
2019/10/30,201910W5,11368
2019/10/23,201910W4,11217
2019/10/16,201910,11146
2019/10/09,201910W2,10911
2019/10/02,201910W1,10953
2019/09/25,201909W4,10841
2019/09/18,201909,10960
2019/09/11,201909W2,10753
2019/09/04,201909W1,10657
2019/08/28,201908W4,10426
2019/08/21,201908,10528
2019/08/14,201908W2,10444
2019/08/07,201908W1,10383
2019/07/31,201907W5,10814
2019/07/24,201907W4,10923
2019/07/17,201907,10831
2019/07/10,201907W2,10792
2019/07/03,201907W1,10729
2019/06/26,201906W4,10665
2019/06/19,201906,10770
2019/06/12,201906W2,10620
2019/06/05,201906W1,10461
2019/05/29,201905W5,10290
2019/05/22,201905W4,10474
2019/05/15,201905,10580
2019/05/08,201905W2,10935
2019/05/02,201905W1,10999
2019/04/24,201904W4,11002
2019/04/17,201904,11005
2019/04/10,201904W2,10866
2019/04/03,201904W1,10724
2019/03/27,201903W4,10541
2019/03/20,201903,10545
2019/03/13,201903W2,10365
2019/03/06,201903W1,10340
2019/02/27,201902W4,10376
2019/02/20,201902,10256
2019/02/13,201902W2,10100
2019/02/11,201902W1,10020
2019/01/30,201901W5,9930
2019/01/23,201901W4,9837
2019/01/16,201901,9784
2019/01/09,201901W2,9735
2019/01/02,201901W1,9550
2018/12/26,201812W4,9489
2018/12/19,201812,9768
2018/12/12,201812W2,9829
2018/12/05,201812W1,9904
2018/11/28,201811W4,9874
2018/11/21,201811,9743
2018/11/14,201811W2,9788
2018/11/07,201811W1,9889
2018/10/31,201810W5,9733
2018/10/24,201810W4,9774
2018/10/17,201810,9994
2018/10/11,201810W2,9819
2018/10/03,201810W1,10852
2018/09/26,201809W4,10962
2018/09/19,201809,10872
2018/09/12,201809W2,10724
2018/09/05,201809W1,11000
2018/08/29,201808W5,11061
2018/08/22,201808W4,10791
2018/08/15,201808,10737
2018/08/08,201808W2,11056
2018/08/01,201808W1,11085
2018/07/25,201807W4,10970
2018/07/18,201807,10844
2018/07/11,201807W2,10655
2018/07/04,201807W1,10729
2018/06/27,201806W4,10728
2018/06/20,201806,10936
2018/06/13,201806W2,11169
2018/06/06,201806W1,11200
2018/05/30,201805W5,10835
2018/05/23,201805W4,10919
2018/05/16,201805,10872
2018/05/09,201805W2,10722
2018/05/02,201805W1,10611
2018/04/25,201804W4,10566
2018/04/18,201804,10846
2018/04/11,201804W2,10975
2018/04/09,201804W1,10896
2018/03/28,201803W4,10862
2018/03/21,201803,11045
2018/03/14,201803W2,11044
2018/03/07,201803W1,10761
2018/03/01,201802W4,10797
2018/02/21,201802,10705
2018/02/07,201802W1,10579
2018/01/31,201801W5,11139
2018/01/24,201801W4,11129
2018/01/17,201801,11020
2018/01/10,201801W2,10825
2018/01/03,201801W1,10792
2017/12/27,201712W4,10479
2017/12/20,201712,10497
2017/12/13,201712W2,10462
2017/12/06,201712W1,10393
2017/11/29,201711W5,10709
2017/11/22,201711W4,10817
2017/11/15,201711,10638
2017/11/08,201711W2,10816
2017/11/01,201711W1,10800
2017/10/25,201710W4,10749
2017/10/18,201710,10728
2017/10/11,201710W2,10641
2017/10/05,201710W1,10522
2017/09/27,201709W4,10335
2017/09/20,201709,10510
2017/09/13,201709W2,10543
2017/09/06,201709W1,10550
2017/08/30,201708W5,10557
2017/08/23,201708W4,10393
2017/08/16,201708,10254
2017/08/09,201708W2,10468
2017/08/02,201708W1,10500
2017/07/26,201707W4,10422
2017/07/19,201707,10500
2017/07/12,201707W2,10427
2017/07/05,201707W1,10390
2017/06/28,201706W4,10401
2017/06/21,201706,10369
2017/06/14,201706W2,10049
2017/06/07,201706W1,10203
2017/05/31,201705W5,10038
2017/05/24,201705W4,10046
2017/05/17,201705,10000
2017/05/10,201705W2,9953
2017/05/03,201705W1,9945
2017/04/26,201704W4,9851
2017/04/19,201704,9639
2017/04/12,201704W2,9808
2017/04/05,201704W1,9911
2017/03/29,201703W5,9845
2017/03/22,201703W4,9905
2017/03/15,201703,9733
2017/03/08,201703W2,9761
2017/03/01,201703W1,9690
2017/02/22,201702W4,9778
2017/02/15,201702,9799
2017/02/08,201702W2,9550
2017/02/02,201701W4,9440
2017/01/18,201701,9340
2017/01/11,201701W2,9343
2017/01/04,201701W1,9285
2016/12/28,201612W4,9198
2016/12/21,201612,9232
2016/12/14,201612W2,9377
2016/12/07,201612W1,9258
2016/11/30,201611W5,9217
2016/11/23,201611W4,9179
2016/11/16,201611,8984
2016/11/09,201611W2,8940
2016/11/02,201611W1,9151
2016/10/26,201610W4,9363
2016/10/19,201610,9280
2016/10/12,201610W2,9247
2016/10/05,201610W1,9261
2016/09/29,201609W4,9287
2016/09/21,201609,9221
2016/09/14,201609W2,8902
2016/09/07,201609W1,9261
2016/08/31,201608W5,9074
2016/08/24,201608W4,9030
2016/08/17,201608,9121
2016/08/10,201608W2,9181
2016/08/03,201608W1,9004
2016/07/27,201607W4,9054
2016/07/20,201607,9003
2016/07/13,201607W2,8845
2016/07/06,201607W1,8579
2016/06/29,201606W5,8585
2016/06/22,201606W4,8694
2016/06/15,201606,8602
2016/06/08,201606W2,8704
2016/06/01,201606W1,8598
2016/05/25,201605W4,8387
2016/05/18,201605,8149
2016/05/11,201605W2,8139
2016/05/04,201605W1,8171
2016/04/27,201604W4,8567
2016/04/20,201604,8519
2016/04/13,201604W2,8641
2016/04/06,201604W1,8523
2016/03/30,201603W5,8735
2016/03/23,201603W4,8745
2016/03/16,201603,8691
2016/03/09,201603W2,8616
2016/03/02,201603W1,8549
2016/02/24,201602W4,8276
2016/02/17,201602,8212
2016/02/15,201602W2,8053
2016/02/03,201602W1,8077
2016/01/27,201601W4,7844
2016/01/20,201601,7704
2016/01/13,201601W2,7814
2016/01/06,201601W1,7996
2015/12/30,201512W5,8281
2015/12/23,201512W4,8316
2015/12/16,201512,8198
2015/12/09,201512W2,8252
2015/12/02,201512W1,8463
2015/11/25,201511W4,8372
2015/11/18,201511,8335
2015/11/11,201511W2,8428
2015/11/04,201511W1,8851
2015/10/28,201510W4,8647
2015/10/21,201510,8617
2015/10/14,201510W2,8528
2015/10/07,201510W1,8481
2015/09/30,201509W5,8156
2015/09/23,201509W4,8199
2015/09/16,201509,8318
2015/09/09,201509W2,8279
2015/09/02,201509W1,8056
2015/08/26,201508W4,7750
2015/08/19,201508,8002
2015/08/12,201508W2,8278
2015/08/05,201508W1,8547
2015/07/29,201507W5,8563
2015/07/22,201507W4,8906
2015/07/15,201507,9029
2015/07/08,201507W2,8994
2015/07/01,201507W1,9388
2015/06/24,201506W4,9380
2015/06/17,201506,9181
2015/06/10,201506W2,9307
2015/06/03,201506W1,9561
2015/05/27,201505W4,9696
2015/05/20,201505,9668
2015/05/13,201505W2,9736
2015/05/06,201505W1,9818
2015/04/29,201504W5,9868
2015/04/22,201504W4,9620
2015/04/15,201504,9520
2015/04/08,201504W2,9584
2015/04/01,201504W1,9525
2015/03/25,201503W4,9669
2015/03/18,201503,9633
2015/03/11,201503W2,9553
2015/03/04,201503W1,9619
2015/02/25,201502W4,9684
2015/02/24,201502,9623
2015/02/11,201502W2,9462
2015/02/04,201502W1,9517
2015/01/28,201501W4,9499
2015/01/21,201501,9309
2015/01/14,201501W2,9193
2015/01/07,201501W1,9096
2014/12/31,201412W5,9277
2014/12/24,201412W4,9176
2014/12/17,201412,8843
2014/12/10,201412W2,9032
2014/12/03,201412W1,9173
2014/11/26,201411W4,9127
2014/11/19,201411,8953
2014/11/12,201411W2,8906
2014/11/05,201411W1,8950
2014/10/29,201410W5,8896
2014/10/22,201410W4,8741
2014/10/15,201410,8646
2014/10/08,201410W2,8979
2014/10/01,201410W1,8994
2014/09/24,201409W4,9111
2014/09/17,201409,9172
2014/09/10,201409W2,9356
2014/09/03,201409W1,9428
2014/08/27,201408W4,9471
2014/08/20,201408,9275
2014/08/13,201408W2,9225
2014/08/06,201408W1,9150
2014/07/30,201407W5,9444
2014/07/24,201407W4,9506
2014/07/16,201407,9483
2014/07/09,201407W2,9495
2014/07/02,201407W1,9464
2014/06/25,201406W4,9242
2014/06/18,201406,9302
2014/06/11,201406W2,9213
2014/06/04,201406W1,9124
2014/05/28,201405W4,9114
2014/05/21,201405,8860
2014/05/14,201405W2,8849
2014/05/07,201405W1,8891
2014/04/30,201404W5,8811
2014/04/23,201404W4,8963
2014/04/16,201404,8954
2014/04/09,201404W2,8930
2014/04/02,201404W1,8900
2014/03/26,201403W4,8736
2014/03/19,201403,8696
2014/03/12,201403W2,8662
2014/03/05,201403W1,8639
2014/02/26,201402W4,8611
2014/02/19,201402,8556
2014/02/12,201402W2,8502
2014/02/05,201401W5,8269
2014/01/22,201401W4,8610
2014/01/15,201401,8610
2014/01/08,201401W2,8560
2014/01/02,201401W1,8606
2013/12/25,201312W4,8475
2013/12/18,201312,8338
2013/12/11,201312W2,8422
2013/12/04,201312W1,8422
2013/11/27,201311W4,8299
2013/11/20,201311,8219
2013/11/13,201311W2,8112
2013/11/06,201311W1,8270
2013/10/30,201310W5,8444
2013/10/23,201310W4,8385
2013/10/16,201310,8344
2013/10/09,201310W2,8342
2013/10/02,201310W1,8220
2013/09/25,201309W4,8276
2013/09/18,201309,8238
2013/09/11,201309W2,8179
2013/09/04,201309W1,8082
2013/08/28,201308W4,7821
2013/08/22,201308,7813
2013/08/14,201308W2,7954
2013/08/07,201308W1,7936
2013/07/17,201307,8241
2013/06/19,201306,8019
2013/05/15,201305,8303
2013/04/17,201304,7808
2013/03/20,201303,7795
2013/02/20,201302,8022
2013/01/16,201301,7718
2012/12/19,201212,7659
2012/11/21,201211,7084
2012/10/17,201210,7460
2012/09/19,201209,7767
2012/08/15,201208,7468
2012/07/18,201207,7060
2012/06/20,201206,7311
2012/05/16,201205,7255
2012/04/18,201204,7620
2012/03/21,201203,7980
2012/02/15,201202,8005
2012/01/18,201201,7207
2011/12/21,201112,6952
2011/11/16,201111,7398
2011/10/19,201110,7330
2011/09/21,201109,7537
2011/08/17,201108,7754
2011/07/20,201107,8697
2011/06/15,201106,8839
2011/05/18,201105,8934
2011/04/20,201104,8792
2011/03/16,201103,8305
2011/02/16,201102,8719
2011/01/19,201101,9083
2010/12/15,201012,8727
2010/11/17,201011,8246
2010/10/20,201010,8119
2010/09/15,201009,8154
2010/08/18,201008,7918
2010/07/21,201007,7687
2010/06/17,201006,7520
2010/05/19,201005,7576
2010/04/21,201004,7980
2010/03/17,201003,7842
2010/02/22,201002,7558
2010/01/20,201001,8214
2009/12/16,200912,7752
2009/11/18,200911,7786
2009/10/21,200910,7705
2009/09/16,200909,7445
2009/08/19,200908,6795
